date,Democrats,Republicans,Media,Public,Democratic_Supporters,Republican_Supporters,Random_Users
2013-01-01,0.019,0.091,0.151,0.133,0.12,0.237,0.128
2013-01-02,0.009,0.102,0.114,0.191,0.125,0.298,0.202
2013-01-03,0.004,0.153,0.155,0.185,0.109,0.313,0.171
2013-01-04,0.002,0.243,0.186,0.187,0.133,0.335,0.173
2013-01-05,0.005,0.151,0.205,0.199,0.147,0.287,0.189
2013-01-06,0.004,0.125,0.152,0.184,0.134,0.299,0.16
2013-01-07,0.029,0.248,0.162,0.218,0.14,0.321,0.197
2013-01-08,0.11,0.242,0.148,0.177,0.144,0.283,0.176
2013-01-09,0.032,0.236,0.163,0.215,0.14,0.334,0.191
2013-01-10,0.005,0.209,0.192,0.201,0.146,0.332,0.209
2013-01-11,0.004,0.204,0.256,0.205,0.135,0.318,0.18
2013-01-12,0.019,0.176,0.24,0.198,0.164,0.317,0.193
2013-01-13,0.017,0.07,0.183,0.171,0.142,0.269,0.173
2013-01-14,0.017,0.187,0.252,0.192,0.141,0.327,0.2
2013-01-15,0.004,0.175,0.278,0.214,0.155,0.345,0.212
2013-01-16,0.001,0.163,0.21,0.222,0.148,0.337,0.223
2013-01-17,0.006,0.258,0.249,0.226,0.16,0.335,0.187
2013-01-18,0.028,0.195,0.243,0.216,0.163,0.334,0.209
2013-01-19,0.057,0.185,0.273,0.181,0.142,0.313,0.177
2013-01-20,0.02,0.145,0.129,0.157,0.142,0.288,0.147
2013-01-21,0.007,0.119,0.151,0.169,0.098,0.308,0.176
2013-01-22,0.003,0.159,0.213,0.201,0.137,0.336,0.181
2013-01-23,0.006,0.103,0.141,0.211,0.125,0.317,0.216
2013-01-24,0.014,0.206,0.22,0.199,0.139,0.315,0.209
2013-01-25,0.003,0.199,0.16,0.197,0.111,0.32,0.199
2013-01-26,0.01,0.193,0.227,0.181,0.135,0.316,0.199
2013-01-27,0.007,0.087,0.21,0.19,0.173,0.315,0.162
2013-01-28,0.001,0.247,0.183,0.21,0.14,0.328,0.175
2013-01-29,0.009,0.252,0.144,0.198,0.129,0.321,0.205
2013-01-30,0.005,0.204,0.238,0.205,0.126,0.336,0.204
2013-01-31,0.009,0.205,0.206,0.188,0.128,0.299,0.165
2013-02-01,0.018,0.232,0.149,0.179,0.113,0.302,0.198
2013-02-02,0.004,0.185,0.256,0.177,0.137,0.303,0.15
2013-02-03,0.004,0.134,0.199,0.141,0.122,0.27,0.165
2013-02-04,0.006,0.195,0.142,0.154,0.111,0.266,0.15
2013-02-05,0.028,0.19,0.216,0.209,0.133,0.321,0.192
2013-02-06,0.002,0.156,0.184,0.191,0.119,0.319,0.207
2013-02-07,0.005,0.235,0.214,0.189,0.145,0.333,0.194
2013-02-08,0.006,0.242,0.175,0.186,0.135,0.332,0.18
2013-02-09,0.007,0.173,0.139,0.164,0.151,0.3,0.158
2013-02-10,0.014,0.195,0.156,0.164,0.157,0.314,0.164
2013-02-11,0.007,0.175,0.177,0.187,0.143,0.31,0.153
2013-02-12,0.002,0.156,0.233,0.197,0.113,0.319,0.174
2013-02-13,0.005,0.156,0.182,0.192,0.058,0.29,0.173
2013-02-14,0.001,0.202,0.137,0.178,0.116,0.282,0.145
2013-02-15,0.003,0.247,0.15,0.196,0.114,0.304,0.144
2013-02-16,0.014,0.169,0.128,0.177,0.13,0.279,0.156
2013-02-17,0.002,0.133,0.115,0.164,0.154,0.274,0.16
2013-02-18,0.003,0.223,0.155,0.208,0.151,0.327,0.18
2013-02-19,0.004,0.183,0.234,0.211,0.167,0.336,0.19
2013-02-20,0.008,0.205,0.13,0.205,0.135,0.317,0.194
2013-02-21,0.01,0.191,0.132,0.184,0.142,0.315,0.167
2013-02-22,0.003,0.206,0.179,0.185,0.131,0.312,0.162
2013-02-23,0.051,0.18,0.193,0.169,0.153,0.307,0.156
2013-02-24,0.007,0.123,0.147,0.163,0.152,0.289,0.147
2013-02-25,0.034,0.273,0.248,0.178,0.13,0.314,0.171
2013-02-26,0.002,0.178,0.157,0.191,0.142,0.331,0.178
2013-02-27,0.011,0.15,0.177,0.186,0.113,0.309,0.182
2013-02-28,0.002,0.165,0.19,0.184,0.122,0.334,0.175
2013-03-01,0.025,0.231,0.262,0.188,0.126,0.324,0.166
2013-03-02,0.001,0.159,0.212,0.175,0.147,0.32,0.182
2013-03-03,0.002,0.158,0.131,0.179,0.132,0.297,0.162
2013-03-04,0.047,0.235,0.243,0.183,0.143,0.35,0.176
2013-03-05,0.023,0.189,0.18,0.191,0.144,0.338,0.193
2013-03-06,0.015,0.208,0.16,0.205,0.135,0.279,0.184
2013-03-07,0.016,0.2,0.133,0.221,0.137,0.156,0.192
2013-03-08,0.004,0.271,0.172,0.176,0.118,0.245,0.169
2013-03-09,0.014,0.133,0.088,0.182,0.114,0.259,0.142
2013-03-10,0.002,0.091,0.118,0.163,0.128,0.285,0.161
2013-03-11,0.01,0.248,0.162,0.186,0.145,0.306,0.172
2013-03-12,0.001,0.201,0.178,0.201,0.13,0.307,0.188
2013-03-13,0.003,0.18,0.198,0.189,0.148,0.293,0.189
2013-03-14,0.001,0.19,0.08,0.165,0.103,0.286,0.166
2013-03-15,0.008,0.223,0.139,0.188,0.098,0.281,0.203
2013-03-16,0.007,0.149,0.126,0.157,0.104,0.259,0.141
2013-03-17,0.011,0.108,0.086,0.144,0.123,0.262,0.157
2013-03-18,0.008,0.277,0.126,0.191,0.118,0.321,0.208
2013-03-19,0.023,0.182,0.177,0.195,0.122,0.302,0.191
2013-03-20,0.01,0.195,0.185,0.195,0.136,0.314,0.176
2013-03-21,0.007,0.143,0.171,0.195,0.112,0.305,0.149
2013-03-22,0.001,0.196,0.217,0.191,0.105,0.295,0.178
2013-03-23,0.004,0.111,0.203,0.168,0.127,0.262,0.171
2013-03-24,0.005,0.182,0.147,0.175,0.13,0.269,0.163
2013-03-25,0.002,0.206,0.167,0.187,0.126,0.311,0.198
2013-03-26,0.002,0.216,0.2,0.189,0.125,0.309,0.177
2013-03-27,0.007,0.199,0.19,0.181,0.125,0.319,0.154
2013-03-28,0.005,0.25,0.162,0.185,0.127,0.318,0.173
2013-03-29,0.012,0.205,0.128,0.178,0.141,0.31,0.184
2013-03-30,0.011,0.142,0.233,0.171,0.14,0.3,0.156
2013-03-31,0.003,0.062,0.151,0.133,0.131,0.225,0.149
2013-04-01,0.003,0.216,0.178,0.174,0.137,0.283,0.178
2013-04-02,0.005,0.195,0.129,0.199,0.107,0.307,0.184
2013-04-03,0.002,0.229,0.14,0.184,0.133,0.311,0.176
2013-04-04,0.008,0.187,0.201,0.194,0.13,0.325,0.189
2013-04-05,0.008,0.262,0.154,0.192,0.133,0.304,0.171
2013-04-06,0.003,0.155,0.183,0.166,0.121,0.29,0.182
2013-04-07,0.007,0.179,0.094,0.172,0.135,0.259,0.135
2013-04-08,0.008,0.238,0.151,0.19,0.112,0.28,0.208
2013-04-09,0.001,0.275,0.134,0.189,0.106,0.288,0.187
2013-04-10,0.001,0.173,0.134,0.195,0.103,0.301,0.174
2013-04-11,0.011,0.188,0.234,0.213,0.112,0.29,0.197
2013-04-12,0.003,0.261,0.203,0.199,0.128,0.305,0.177
2013-04-13,0.003,0.178,0.187,0.182,0.13,0.31,0.175
2013-04-14,0.005,0.224,0.203,0.166,0.135,0.293,0.178
2013-04-15,0.005,0.157,0.305,0.231,0.193,0.323,0.198
2013-04-16,0.005,0.164,0.216,0.215,0.157,0.311,0.216
2013-04-17,0.01,0.199,0.232,0.231,0.119,0.298,0.206
2013-04-18,0.028,0.239,0.235,0.195,0.084,0.324,0.204
2013-04-19,0.001,0.261,0.243,0.209,0.177,0.32,0.222
2013-04-20,0.007,0.162,0.253,0.186,0.159,0.298,0.19
2013-04-21,0.022,0.146,0.243,0.175,0.156,0.304,0.158
2013-04-22,0.003,0.22,0.249,0.186,0.123,0.34,0.194
2013-04-23,0.001,0.249,0.238,0.19,0.143,0.339,0.251
2013-04-24,0.004,0.258,0.221,0.19,0.117,0.345,0.192
2013-04-25,0.004,0.218,0.262,0.198,0.145,0.332,0.216
2013-04-26,0.001,0.2,0.204,0.185,0.132,0.311,0.189
2013-04-27,0.001,0.189,0.24,0.172,0.136,0.296,0.182
2013-04-28,0.016,0.178,0.219,0.166,0.132,0.295,0.151
2013-04-29,0.001,0.225,0.175,0.201,0.122,0.328,0.208
2013-04-30,0.005,0.255,0.201,0.189,0.141,0.326,0.183
2013-05-01,0,0.301,0.203,0.187,0.103,0.316,0.205
2013-05-02,0.014,0.268,0.222,0.195,0.128,0.31,0.178
2013-05-03,0.007,0.237,0.262,0.206,0.122,0.338,0.192
2013-05-04,0.007,0.198,0.182,0.154,0.139,0.292,0.163
2013-05-05,0.044,0.179,0.187,0.144,0.154,0.315,0.163
2013-05-06,0.002,0.296,0.191,0.201,0.15,0.33,0.189
2013-05-07,0.002,0.2,0.176,0.19,0.119,0.298,0.182
2013-05-08,0.005,0.185,0.254,0.201,0.13,0.331,0.203
2013-05-09,0.012,0.207,0.184,0.187,0.119,0.328,0.177
2013-05-10,0.01,0.206,0.181,0.197,0.127,0.334,0.181
2013-05-11,0.005,0.164,0.119,0.152,0.128,0.307,0.167
2013-05-12,0.001,0.113,0.222,0.11,0.121,0.279,0.119
2013-05-13,0.001,0.199,0.215,0.184,0.138,0.323,0.187
2013-05-14,0.008,0.193,0.173,0.211,0.141,0.339,0.184
2013-05-15,0.004,0.17,0.204,0.213,0.152,0.327,0.177
2013-05-16,0.005,0.175,0.197,0.189,0.141,0.328,0.216
2013-05-17,0.004,0.194,0.22,0.195,0.158,0.327,0.191
2013-05-18,0.002,0.161,0.161,0.156,0.139,0.313,0.169
2013-05-19,0.007,0.119,0.189,0.18,0.157,0.315,0.181
2013-05-20,0.01,0.221,0.251,0.192,0.148,0.347,0.2
2013-05-21,0.003,0.174,0.272,0.198,0.13,0.317,0.214
2013-05-22,0.01,0.139,0.137,0.187,0.11,0.33,0.202
2013-05-23,0.001,0.166,0.161,0.17,0.122,0.307,0.199
2013-05-24,0.001,0.232,0.182,0.184,0.14,0.309,0.188
2013-05-25,0.01,0.129,0.158,0.143,0.137,0.293,0.184
2013-05-26,0.014,0.127,0.044,0.158,0.146,0.268,0.174
2013-05-27,0.002,0.068,0.068,0.161,0.127,0.238,0.159
2013-05-28,0.002,0.247,0.111,0.166,0.139,0.316,0.184
2013-05-29,0.002,0.202,0.232,0.185,0.146,0.309,0.204
2013-05-30,0.009,0.246,0.187,0.202,0.134,0.316,0.208
2013-05-31,0.001,0.244,0.218,0.187,0.129,0.313,0.196
2013-06-01,0.004,0.206,0.191,0.167,0.146,0.307,0.199
2013-06-02,0.008,0.219,0.179,0.153,0.148,0.288,0.155
2013-06-03,0.002,0.206,0.192,0.188,0.137,0.335,0.154
2013-06-04,0.001,0.195,0.235,0.172,0.126,0.303,0.195
2013-06-05,0.003,0.276,0.153,0.186,0.122,0.327,0.186
2013-06-06,0,0.165,0.275,0.186,0.136,0.338,0.194
2013-06-07,0,0.276,0.196,0.198,0.148,0.34,0.185
2013-06-08,0.006,0.166,0.12,0.161,0.15,0.32,0.163
2013-06-09,0.001,0.178,0.197,0.155,0.156,0.321,0.167
2013-06-10,0,0.231,0.313,0.196,0.148,0.34,0.221
2013-06-11,0.003,0.277,0.211,0.178,0.155,0.335,0.203
2013-06-12,0.008,0.2,0.181,0.183,0.124,0.32,0.193
2013-06-13,0.004,0.223,0.196,0.188,0.132,0.328,0.204
2013-06-14,0,0.175,0.218,0.193,0.12,0.323,0.202
2013-06-15,0.015,0.169,0.206,0.154,0.14,0.322,0.144
2013-06-16,0.005,0.123,0.1,0.139,0.141,0.284,0.144
2013-06-17,0.003,0.236,0.189,0.199,0.136,0.302,0.193
2013-06-18,0.002,0.15,0.264,0.2,0.146,0.3,0.186
2013-06-19,0.013,0.214,0.255,0.186,0.129,0.289,0.19
2013-06-20,0,0.249,0.22,0.206,0.121,0.313,0.209
2013-06-21,0.002,0.246,0.202,0.16,0.116,0.311,0.173
2013-06-22,0.006,0.184,0.139,0.166,0.133,0.313,0.168
2013-06-23,0.023,0.214,0.145,0.16,0.162,0.284,0.182
2013-06-24,0.001,0.225,0.218,0.194,0.136,0.273,0.197
