date,Democrats,Republicans,Media,Public,Democratic_Supporters,Republican_Supporters,Random_Users
2013-01-01,0.005,0.003,0.013,0.152,0.113,0.096,0.205
2013-01-02,0,0.001,0.012,0.161,0.088,0.087,0.258
2013-01-03,0.003,0.001,0.041,0.177,0.106,0.1,0.264
2013-01-04,0.004,0.001,0.007,0.194,0.119,0.113,0.285
2013-01-05,0.011,0.006,0.049,0.214,0.137,0.132,0.272
2013-01-06,0.012,0.006,0.025,0.22,0.152,0.126,0.285
2013-01-07,0.011,0.002,0.024,0.19,0.138,0.116,0.274
2013-01-08,0.003,0.001,0.018,0.182,0.124,0.114,0.253
2013-01-09,0.007,0.001,0.02,0.191,0.111,0.108,0.275
2013-01-10,0.004,0.004,0.027,0.179,0.122,0.099,0.291
2013-01-11,0,0.001,0.038,0.195,0.123,0.114,0.283
2013-01-12,0.004,0.001,0.035,0.211,0.138,0.129,0.266
2013-01-13,0.005,0.017,0.012,0.197,0.145,0.134,0.251
2013-01-14,0.004,0,0.041,0.197,0.137,0.102,0.27
2013-01-15,0.004,0,0.019,0.178,0.1,0.097,0.286
2013-01-16,0.004,0,0.012,0.176,0.095,0.091,0.293
2013-01-17,0.017,0,0.045,0.179,0.114,0.113,0.274
2013-01-18,0.004,0.001,0.053,0.191,0.122,0.107,0.287
2013-01-19,0.001,0.001,0.022,0.227,0.136,0.121,0.276
2013-01-20,0.001,0.008,0,0.196,0.138,0.126,0.29
2013-01-21,0.003,0.006,0.003,0.163,0.117,0.102,0.252
2013-01-22,0.004,0,0.001,0.185,0.098,0.096,0.275
2013-01-23,0,0,0.007,0.177,0.113,0.11,0.261
2013-01-24,0,0.001,0.035,0.187,0.121,0.109,0.27
2013-01-25,0.01,0.001,0.034,0.197,0.119,0.103,0.26
2013-01-26,0.022,0.006,0.002,0.203,0.136,0.114,0.266
2013-01-27,0.005,0.005,0.019,0.204,0.138,0.127,0.287
2013-01-28,0,0.001,0.001,0.185,0.119,0.107,0.268
2013-01-29,0.001,0.001,0.032,0.183,0.109,0.106,0.266
2013-01-30,0.001,0.001,0.031,0.176,0.099,0.098,0.263
2013-01-31,0.003,0,0.015,0.187,0.108,0.111,0.268
2013-02-01,0.002,0.001,0.019,0.181,0.118,0.105,0.267
2013-02-02,0.044,0.001,0.023,0.192,0.142,0.121,0.266
2013-02-03,0.016,0.001,0.001,0.198,0.148,0.12,0.247
2013-02-04,0.004,0.002,0.013,0.17,0.143,0.13,0.243
2013-02-05,0.001,0.001,0.032,0.17,0.099,0.103,0.276
2013-02-06,0.001,0.001,0.033,0.179,0.104,0.1,0.265
2013-02-07,0,0.001,0.018,0.172,0.116,0.118,0.28
2013-02-08,0.001,0.001,0.053,0.176,0.128,0.11,0.271
2013-02-09,0.013,0.015,0.04,0.188,0.14,0.131,0.275
2013-02-10,0.005,0.001,0.019,0.2,0.15,0.116,0.259
2013-02-11,0.001,0.001,0.026,0.191,0.149,0.126,0.3
2013-02-12,0,0,0.007,0.163,0.103,0.103,0.274
2013-02-13,0.002,0,0.029,0.149,0.077,0.085,0.23
2013-02-14,0.001,0.004,0.038,0.173,0.123,0.116,0.278
2013-02-15,0.005,0.002,0.048,0.183,0.128,0.113,0.279
2013-02-16,0.001,0.004,0.066,0.186,0.141,0.124,0.29
2013-02-17,0.002,0.005,0.049,0.205,0.127,0.122,0.274
2013-02-18,0.003,0.007,0.024,0.184,0.131,0.107,0.284
2013-02-19,0.003,0.001,0.026,0.18,0.115,0.098,0.273
2013-02-20,0.003,0,0.061,0.19,0.109,0.099,0.275
2013-02-21,0.001,0.002,0.037,0.166,0.109,0.111,0.27
2013-02-22,0.001,0,0.022,0.172,0.114,0.106,0.276
2013-02-23,0.014,0.001,0.055,0.191,0.139,0.1,0.282
2013-02-24,0.006,0.01,0.013,0.199,0.141,0.114,0.284
2013-02-25,0,0,0.058,0.204,0.187,0.123,0.294
2013-02-26,0.002,0,0.024,0.18,0.114,0.102,0.255
2013-02-27,0,0.001,0.013,0.17,0.102,0.109,0.266
2013-02-28,0,0.002,0.026,0.167,0.105,0.096,0.276
2013-03-01,0,0.001,0.036,0.164,0.111,0.1,0.266
2013-03-02,0.019,0.001,0.013,0.187,0.121,0.118,0.274
2013-03-03,0.012,0.002,0.021,0.184,0.129,0.114,0.267
2013-03-04,0,0.003,0.026,0.17,0.112,0.107,0.246
2013-03-05,0.002,0,0.02,0.159,0.11,0.094,0.273
2013-03-06,0.01,0,0.05,0.153,0.12,0.096,0.263
2013-03-07,0.002,0,0.016,0.156,0.11,0.101,0.26
2013-03-08,0.002,0.003,0.003,0.153,0.099,0.102,0.248
2013-03-09,0.001,0.002,0.036,0.193,0.128,0.105,0.239
2013-03-10,0.002,0.019,0.023,0.179,0.155,0.116,0.27
2013-03-11,0.007,0.008,0.032,0.165,0.123,0.106,0.284
2013-03-12,0,0,0.021,0.162,0.107,0.103,0.274
2013-03-13,0,0,0.017,0.148,0.118,0.11,0.266
2013-03-14,0,0,0.01,0.161,0.115,0.107,0.287
2013-03-15,0.001,0.001,0.032,0.165,0.118,0.114,0.273
2013-03-16,0.028,0.001,0.013,0.185,0.149,0.117,0.289
2013-03-17,0.001,0.001,0.026,0.179,0.143,0.115,0.25
2013-03-18,0.002,0.002,0.031,0.163,0.113,0.105,0.257
2013-03-19,0.002,0,0.008,0.166,0.108,0.104,0.26
2013-03-20,0,0.001,0.011,0.169,0.105,0.101,0.263
2013-03-21,0,0.003,0.035,0.166,0.112,0.102,0.258
2013-03-22,0,0.001,0.014,0.17,0.117,0.11,0.263
2013-03-23,0.008,0.001,0.014,0.181,0.125,0.109,0.271
2013-03-24,0.035,0.01,0.016,0.2,0.147,0.119,0.279
2013-03-25,0.002,0.001,0.038,0.164,0.123,0.114,0.258
2013-03-26,0.003,0.001,0.026,0.163,0.116,0.103,0.271
2013-03-27,0.005,0.002,0.043,0.169,0.118,0.1,0.266
2013-03-28,0.006,0.002,0.019,0.165,0.104,0.109,0.28
2013-03-29,0.024,0.009,0.036,0.175,0.124,0.11,0.26
2013-03-30,0.019,0.012,0.019,0.181,0.137,0.106,0.272
2013-03-31,0.006,0.02,0.018,0.167,0.152,0.117,0.244
2013-04-01,0.008,0.001,0.017,0.167,0.116,0.108,0.252
2013-04-02,0.004,0,0.027,0.172,0.114,0.12,0.288
2013-04-03,0.005,0,0.042,0.177,0.117,0.103,0.283
2013-04-04,0.002,0.002,0.034,0.16,0.121,0.11,0.27
2013-04-05,0.002,0.001,0.02,0.162,0.126,0.109,0.269
2013-04-06,0.002,0.003,0.033,0.184,0.134,0.126,0.272
2013-04-07,0.017,0.027,0.011,0.182,0.134,0.134,0.278
2013-04-08,0.001,0,0.026,0.162,0.104,0.112,0.266
2013-04-09,0,0.001,0.003,0.157,0.102,0.104,0.249
2013-04-10,0.002,0,0.027,0.159,0.106,0.094,0.263
2013-04-11,0.001,0.002,0.041,0.16,0.113,0.098,0.263
2013-04-12,0.006,0.001,0.011,0.182,0.122,0.081,0.255
2013-04-13,0.003,0.001,0.051,0.175,0.143,0.102,0.276
2013-04-14,0.013,0.007,0.038,0.182,0.149,0.122,0.304
2013-04-15,0.005,0,0.004,0.12,0.095,0.077,0.23
2013-04-16,0.002,0.001,0.011,0.147,0.112,0.1,0.234
2013-04-17,0,0.001,0.001,0.145,0.094,0.086,0.256
2013-04-18,0.001,0.003,0.011,0.146,0.101,0.098,0.242
2013-04-19,0,0.001,0.002,0.13,0.096,0.091,0.231
