date,Democrats,Republicans,Media,Public,Democratic_Supporters,Republican_Supporters,Random_Users
2013-01-01,0.046,0.005,0.058,0.067,0.115,0.008,0.062
2013-01-02,0.049,0.005,0.088,0.104,0.17,0.008,0.078
2013-01-03,0.14,0.003,0.111,0.125,0.217,0.015,0.098
2013-01-04,0.156,0.003,0.116,0.128,0.214,0.031,0.079
2013-01-05,0.168,0.005,0.11,0.087,0.205,0.025,0.07
2013-01-06,0.144,0.001,0.094,0.069,0.168,0.024,0.067
2013-01-07,0.185,0.004,0.089,0.111,0.217,0.02,0.087
2013-01-08,0.144,0.002,0.127,0.12,0.209,0.029,0.078
2013-01-09,0.202,0.001,0.154,0.125,0.247,0.024,0.105
2013-01-10,0.268,0.001,0.104,0.125,0.231,0.031,0.074
2013-01-11,0.224,0.007,0.074,0.129,0.25,0.033,0.101
2013-01-12,0.19,0.001,0.043,0.084,0.192,0.021,0.047
2013-01-13,0.174,0.009,0.108,0.079,0.164,0.015,0.041
2013-01-14,0.242,0.01,0.096,0.109,0.225,0.041,0.089
2013-01-15,0.166,0.003,0.115,0.109,0.236,0.025,0.077
2013-01-16,0.135,0.002,0.102,0.115,0.233,0.031,0.073
2013-01-17,0.21,0.009,0.105,0.108,0.231,0.028,0.094
2013-01-18,0.222,0.002,0.086,0.097,0.231,0.024,0.085
2013-01-19,0.197,0.001,0.055,0.086,0.207,0.03,0.06
2013-01-20,0.07,0.004,0.096,0.094,0.149,0.021,0.051
2013-01-21,0.116,0.008,0.082,0.108,0.16,0.019,0.082
2013-01-22,0.174,0,0.078,0.112,0.241,0.028,0.106
2013-01-23,0.179,0.001,0.118,0.117,0.213,0.015,0.067
2013-01-24,0.232,0.006,0.06,0.117,0.22,0.03,0.075
2013-01-25,0.215,0,0.108,0.121,0.246,0.037,0.09
2013-01-26,0.182,0.02,0.102,0.102,0.222,0.041,0.054
2013-01-27,0.097,0.031,0.043,0.081,0.183,0.03,0.062
2013-01-28,0.208,0.02,0.101,0.112,0.243,0.036,0.102
2013-01-29,0.188,0.003,0.124,0.137,0.257,0.033,0.09
2013-01-30,0.22,0.004,0.092,0.13,0.255,0.03,0.081
2013-01-31,0.205,0.001,0.161,0.137,0.252,0.043,0.099
2013-02-01,0.24,0.004,0.172,0.129,0.266,0.047,0.087
2013-02-02,0.175,0.004,0.123,0.108,0.219,0.031,0.095
2013-02-03,0.085,0.005,0.032,0.078,0.171,0.019,0.058
2013-02-04,0.182,0.005,0.134,0.098,0.17,0.028,0.05
2013-02-05,0.218,0.008,0.098,0.12,0.276,0.048,0.093
2013-02-06,0.244,0.001,0.176,0.137,0.291,0.043,0.089
2013-02-07,0.251,0.002,0.082,0.143,0.257,0.032,0.08
2013-02-08,0.236,0.008,0.122,0.117,0.255,0.032,0.085
2013-02-09,0.239,0.014,0.13,0.103,0.206,0.04,0.062
2013-02-10,0.149,0.016,0.133,0.083,0.192,0.037,0.068
2013-02-11,0.232,0.004,0.137,0.101,0.21,0.033,0.105
2013-02-12,0.134,0,0.057,0.137,0.24,0.038,0.092
2013-02-13,0.152,0.003,0.069,0.142,0.241,0.036,0.116
2013-02-14,0.219,0.005,0.075,0.116,0.243,0.062,0.093
2013-02-15,0.208,0.001,0.14,0.126,0.236,0.056,0.101
2013-02-16,0.204,0.002,0.212,0.114,0.228,0.07,0.089
2013-02-17,0.198,0.017,0.148,0.105,0.196,0.06,0.088
2013-02-18,0.254,0.001,0.184,0.094,0.232,0.04,0.091
2013-02-19,0.211,0.004,0.094,0.134,0.242,0.049,0.105
2013-02-20,0.25,0.002,0.159,0.141,0.239,0.066,0.099
2013-02-21,0.203,0.001,0.102,0.145,0.271,0.06,0.117
2013-02-22,0.166,0.003,0.181,0.143,0.268,0.059,0.105
2013-02-23,0.114,0.01,0.121,0.12,0.211,0.054,0.074
2013-02-24,0.123,0.003,0.123,0.098,0.193,0.052,0.084
2013-02-25,0.19,0.007,0.057,0.095,0.192,0.036,0.101
2013-02-26,0.181,0.003,0.13,0.122,0.262,0.046,0.128
2013-02-27,0.173,0.003,0.133,0.131,0.274,0.044,0.101
2013-02-28,0.102,0.004,0.095,0.14,0.243,0.032,0.108
2013-03-01,0.206,0.011,0.12,0.134,0.255,0.049,0.118
