date,Democrats,Republicans,Media,Public,Democratic_Supporters,Republican_Supporters,Random_Users
2013-01-01,0.002,0.105,0.04,0.001,0.005,0.02,0
2013-01-02,0.001,0.154,0.036,0,0.005,0.012,0
2013-01-03,0.011,0.191,0.087,0,0.014,0.037,0
2013-01-04,0.007,0.21,0.054,0,0.013,0.027,0
2013-01-05,0.002,0.043,0.072,0,0.005,0.028,0
2013-01-06,0.009,0.18,0.134,0,0.016,0.015,0.003
2013-01-07,0.018,0.221,0.103,0,0.016,0.031,0
2013-01-08,0.002,0.164,0.083,0,0.009,0.02,0
2013-01-09,0.012,0.171,0.027,0,0.007,0.022,0
2013-01-10,0.002,0.189,0.082,0,0.002,0.016,0
2013-01-11,0.001,0.205,0.045,0,0.003,0.019,0
2013-01-12,0.001,0.126,0.077,0,0.001,0.005,0.001
2013-01-13,0.012,0.105,0.051,0,0.003,0.011,0
2013-01-14,0.007,0.204,0.04,0,0.005,0.006,0
2013-01-15,0.001,0.191,0.024,0,0.003,0.009,0
2013-01-16,0.005,0.213,0.015,0,0.003,0.025,0
2013-01-17,0.001,0.241,0.003,0,0,0.024,0
2013-01-18,0.004,0.216,0.011,0,0.001,0.021,0
2013-01-19,0.001,0.159,0.013,0,0.001,0.009,0
2013-01-20,0.008,0.132,0.057,0,0.002,0.007,0
2013-01-21,0.001,0.121,0.03,0,0.007,0.005,0
2013-01-22,0.008,0.181,0.062,0,0.006,0.02,0
2013-01-23,0.031,0.219,0.133,0,0.054,0.055,0
2013-01-24,0.002,0.201,0.098,0.001,0.027,0.048,0
2013-01-25,0.001,0.197,0.154,0,0.036,0.039,0
2013-01-26,0.007,0.129,0.072,0,0.01,0.022,0
2013-01-27,0.009,0.135,0.05,0,0.004,0.014,0
2013-01-28,0.008,0.167,0.096,0,0.012,0.03,0
2013-01-29,0.001,0.24,0.104,0,0.013,0.051,0
2013-01-30,0.007,0.208,0.055,0,0.014,0.035,0
2013-01-31,0.019,0.22,0.08,0,0.019,0.057,0
2013-02-01,0.002,0.205,0.074,0,0.014,0.039,0
2013-02-02,0.003,0.117,0.003,0,0.007,0.02,0
2013-02-03,0.003,0.073,0.108,0,0.005,0.002,0
2013-02-04,0.001,0.199,0.048,0,0,0.004,0
2013-02-05,0,0.182,0.066,0,0.007,0.022,0
2013-02-06,0.006,0.247,0.039,0,0.006,0.021,0
2013-02-07,0,0.223,0.083,0,0.004,0.036,0
2013-02-08,0.001,0.209,0.061,0,0,0.03,0
2013-02-09,0.004,0.123,0.058,0,0,0.025,0
2013-02-10,0.007,0.124,0.034,0.001,0.004,0.011,0
2013-02-11,0,0.192,0.023,0,0.007,0.019,0.001
2013-02-12,0,0.166,0.05,0,0.007,0.026,0
2013-02-13,0.003,0.172,0.041,0.001,0.007,0.026,0
2013-02-14,0.001,0.219,0.109,0,0.009,0.032,0
2013-02-15,0.001,0.152,0.09,0,0.025,0.024,0
2013-02-16,0.002,0.093,0.1,0,0.013,0.025,0.001
2013-02-17,0.007,0.084,0.12,0,0.002,0.02,0
2013-02-18,0.002,0.119,0.025,0,0,0.017,0
2013-02-19,0.002,0.205,0.04,0,0.008,0.02,0
2013-02-20,0.005,0.205,0.129,0,0.017,0.031,0
2013-02-21,0.001,0.234,0.148,0,0,0.036,0
2013-02-22,0,0.165,0.042,0,0.004,0.023,0
2013-02-23,0.005,0.124,0.022,0,0.001,0.016,0
2013-02-24,0.012,0.124,0.08,0,0.001,0.007,0
2013-02-25,0.002,0.175,0.046,0,0.001,0.019,0
2013-02-26,0.005,0.21,0.087,0,0.005,0.036,0
2013-02-27,0,0.205,0.077,0,0.011,0.036,0
2013-02-28,0.002,0.179,0.073,0,0,0.03,0
2013-03-01,0.003,0.241,0.002,0,0.004,0.018,0.001
2013-03-02,0.007,0.101,0.034,0,0.006,0.016,0
2013-03-03,0.001,0.16,0.129,0,0.006,0.023,0
2013-03-04,0.001,0.193,0.029,0,0.001,0.019,0
2013-03-05,0.001,0.208,0.05,0,0.001,0.03,0
2013-03-06,0.002,0.201,0.157,0,0.007,0.092,0
2013-03-07,0,0.275,0.189,0.025,0.022,0.225,0
2013-03-08,0,0.183,0.099,0,0.003,0.128,0
2013-03-09,0.01,0.149,0.085,0,0.006,0.088,0.001
2013-03-10,0.041,0.095,0.101,0.001,0.015,0.045,0.001
2013-03-11,0.002,0.209,0.09,0,0.002,0.042,0
2013-03-12,0,0.188,0.06,0.001,0.005,0.044,0
2013-03-13,0.003,0.229,0.005,0,0.001,0.043,0
2013-03-14,0.028,0.191,0.127,0,0.004,0.054,0
2013-03-15,0.005,0.245,0.15,0.001,0.04,0.076,0
2013-03-16,0.004,0.125,0.078,0,0.017,0.062,0
2013-03-17,0.008,0.122,0.066,0,0.012,0.039,0
2013-03-18,0.003,0.2,0.114,0,0.012,0.036,0.001
2013-03-19,0.001,0.239,0.093,0,0.009,0.044,0
2013-03-20,0,0.232,0.044,0,0.005,0.038,0.001
2013-03-21,0.001,0.222,0.056,0,0.015,0.037,0
2013-03-22,0.001,0.175,0.048,0,0.007,0.038,0
2013-03-23,0.006,0.124,0.021,0,0.007,0.042,0
2013-03-24,0.011,0.083,0.065,0,0.008,0.03,0
2013-03-25,0.001,0.21,0.073,0,0.003,0.022,0
2013-03-26,0.001,0.199,0.057,0,0.001,0.037,0
2013-03-27,0.008,0.201,0.125,0,0.008,0.041,0
2013-03-28,0,0.235,0.042,0,0.001,0.036,0
2013-03-29,0.001,0.239,0.109,0,0.003,0.032,0
2013-03-30,0.001,0.069,0.001,0,0.001,0.023,0
2013-03-31,0.002,0.056,0.084,0,0.002,0.029,0
2013-04-01,0.002,0.253,0.08,0,0.003,0.026,0
2013-04-02,0.005,0.168,0.132,0,0.012,0.034,0
2013-04-03,0.002,0.205,0.13,0,0.006,0.037,0
2013-04-04,0.002,0.214,0.034,0,0,0.034,0
2013-04-05,0.002,0.166,0.111,0,0,0.023,0
2013-04-06,0.012,0.093,0.107,0,0.004,0.014,0
2013-04-07,0.001,0.123,0.162,0,0.001,0.03,0
2013-04-08,0.002,0.127,0.084,0,0.008,0.025,0
2013-04-09,0.001,0.199,0.187,0,0.027,0.046,0
2013-04-10,0.002,0.212,0.131,0.001,0.032,0.055,0
2013-04-11,0.001,0.204,0.077,0,0.018,0.073,0
2013-04-12,0.007,0.101,0.074,0,0.008,0.04,0
2013-04-13,0.021,0.157,0.088,0,0.003,0.013,0
2013-04-14,0.003,0.127,0.073,0,0.002,0.009,0
2013-04-15,0.001,0.107,0.035,0,0.002,0.015,0
2013-04-16,0.005,0.204,0.07,0,0.005,0.026,0
2013-04-17,0.011,0.165,0.079,0,0.047,0.047,0
2013-04-18,0.003,0.146,0.08,0,0.093,0.045,0.001
2013-04-19,0.002,0.112,0.003,0,0.016,0.008,0
2013-04-20,0.002,0.119,0.047,0,0.013,0.015,0
2013-04-21,0.003,0.06,0.023,0,0.012,0.012,0
2013-04-22,0.001,0.216,0.042,0,0.013,0.024,0
2013-04-23,0.001,0.206,0.034,0,0.009,0.029,0
2013-04-24,0.001,0.194,0.029,0.001,0.017,0.036,0
2013-04-25,0.001,0.208,0.004,0,0.004,0.036,0
2013-04-26,0.002,0.2,0.038,0,0.009,0.024,0
2013-04-27,0.001,0.036,0.071,0,0.012,0.008,0
2013-04-28,0.002,0.084,0.063,0,0.011,0.011,0.001
2013-04-29,0.006,0.209,0.098,0,0.026,0.022,0
2013-04-30,0.001,0.224,0.093,0,0.018,0.037,0.001
2013-05-01,0.005,0.197,0.092,0,0.02,0.037,0
2013-05-02,0.004,0.228,0.033,0,0.013,0.031,0
2013-05-03,0.008,0.203,0.009,0,0.017,0.036,0
2013-05-04,0.004,0.173,0.089,0.001,0.01,0.028,0
2013-05-05,0.009,0.067,0.072,0,0.002,0.018,0
2013-05-06,0.003,0.203,0.095,0,0.003,0.041,0
2013-05-07,0.004,0.197,0.104,0.001,0.008,0.052,0
2013-05-08,0,0.221,0.04,0,0.016,0.027,0
2013-05-09,0,0.253,0.05,0,0.003,0.037,0
2013-05-10,0.003,0.211,0.056,0,0.008,0.026,0
2013-05-11,0.001,0.152,0.046,0.001,0.001,0.013,0
2013-05-12,0.007,0.098,0.042,0,0,0.019,0
2013-05-13,0,0.2,0.061,0,0.01,0.02,0
2013-05-14,0.001,0.207,0.05,0,0.002,0.029,0
2013-05-15,0.001,0.233,0.025,0,0.004,0.03,0
2013-05-16,0.003,0.191,0.006,0,0.003,0.025,0
2013-05-17,0.002,0.202,0.027,0,0,0.022,0
2013-05-18,0.004,0.094,0.083,0,0.001,0.017,0
2013-05-19,0.016,0.157,0.1,0,0.007,0.03,0
2013-05-20,0,0.171,0.073,0,0.007,0.022,0
2013-05-21,0.001,0.188,0.025,0,0.01,0.037,0
