date,Democrats,Republicans,Media,Public,Democratic_Supporters,Republican_Supporters,Random_Users
2013-01-01,0.001,0,0.002,0,0,0,0
2013-01-02,0.002,0,0.002,0.005,0,0,0.007
2013-01-03,0.002,0.003,0,0.011,0.003,0,0.013
2013-01-04,0.023,0,0.001,0.016,0.001,0,0.007
2013-01-05,0.008,0.003,0.001,0.008,0.002,0,0.005
2013-01-06,0.012,0.001,0.002,0.005,0,0,0
2013-01-07,0.055,0.031,0.009,0.013,0.013,0,0.013
2013-01-08,0.059,0.042,0.004,0.013,0.013,0.003,0.001
2013-01-09,0.115,0.149,0.004,0.02,0.019,0.007,0.019
2013-01-10,0.079,0.11,0.016,0.026,0.023,0.007,0.013
2013-01-11,0.081,0.101,0.001,0.013,0.02,0.012,0.009
2013-01-12,0.031,0.063,0.012,0.017,0.013,0.001,0.008
2013-01-13,0.029,0.008,0,0.005,0.003,0,0.003
2013-01-14,0.048,0.027,0.005,0.013,0.006,0.002,0.012
2013-01-15,0.066,0.026,0.013,0.019,0.008,0.002,0.012
2013-01-16,0.027,0.017,0,0.015,0.005,0,0.009
2013-01-17,0.074,0.051,0.001,0.018,0.008,0,0.02
2013-01-18,0.1,0.063,0.002,0.022,0.012,0.007,0.011
2013-01-19,0.091,0.032,0.007,0.012,0.012,0.004,0.014
2013-01-20,0.044,0.009,0.017,0.005,0.001,0,0.008
2013-01-21,0.001,0.014,0,0.002,0,0,0
2013-01-22,0.008,0.004,0.001,0.023,0,0.003,0.019
2013-01-23,0.005,0,0.004,0.019,0.003,0,0.008
2013-01-24,0.028,0.026,0.001,0.024,0.008,0.002,0.014
2013-01-25,0.089,0.036,0.012,0.016,0.009,0.002,0.027
2013-01-26,0.093,0.028,0,0.011,0.008,0.002,0.013
2013-01-27,0.058,0.058,0.021,0.014,0.008,0,0.004
2013-01-28,0.064,0.074,0.008,0.018,0.015,0.005,0.014
2013-01-29,0.029,0.102,0.001,0.017,0.006,0.006,0.027
2013-01-30,0.063,0.097,0.001,0.02,0.015,0.009,0.028
2013-01-31,0.077,0.087,0.009,0.022,0.019,0.008,0.016
2013-02-01,0.075,0.072,0.027,0.016,0.014,0.008,0.027
2013-02-02,0.103,0.063,0.007,0.01,0.005,0.013,0.013
2013-02-03,0.009,0.003,0.003,0.01,0,0.002,0.01
2013-02-04,0.005,0.004,0,0.008,0.003,0,0.005
2013-02-05,0.002,0.005,0.001,0.015,0.014,0.01,0.023
2013-02-06,0.002,0.026,0,0.014,0.016,0.008,0.009
2013-02-07,0.012,0.047,0.002,0.022,0.011,0.007,0.018
2013-02-08,0.027,0.056,0.002,0.02,0.015,0.006,0.022
2013-02-09,0.051,0.145,0.01,0.017,0.007,0.001,0.018
2013-02-10,0.069,0.011,0.031,0.016,0.004,0,0.012
2013-02-11,0.048,0.079,0.007,0.019,0.007,0.001,0.01
