date,Democrats,Republicans,Media,Public,Democratic_Supporters,Republican_Supporters,Random_Users
2013-01-01,0.127,0.066,0.103,0.301,0.204,0.168,0.271
2013-01-02,0,0.001,0.01,0.104,0.05,0.04,0.081
2013-01-03,0,0,0.021,0.058,0.032,0.022,0.045
2013-01-04,0.001,0.001,0.013,0.043,0.027,0.017,0.047
2013-01-05,0.002,0.003,0.012,0.034,0.02,0.018,0.027
2013-01-06,0.016,0.006,0.012,0.037,0.024,0.019,0.031
2013-01-07,0.004,0.007,0.021,0.036,0.017,0.017,0.03
2013-01-08,0.002,0.001,0.013,0.027,0.018,0.015,0.022
2013-01-09,0.003,0.001,0.009,0.028,0.009,0.009,0.021
2013-01-10,0.002,0.001,0.008,0.024,0.009,0.008,0.019
2013-01-11,0,0.002,0.013,0.022,0.01,0.008,0.015
2013-01-12,0.007,0.001,0.002,0.021,0.009,0.006,0.011
2013-01-13,0.001,0.002,0.002,0.018,0.008,0.006,0.016
2013-01-14,0.004,0.001,0.002,0.021,0.007,0.004,0.018
2013-01-15,0.001,0.001,0.01,0.021,0.006,0.003,0.019
2013-01-16,0.001,0,0.001,0.017,0.004,0.003,0.011
2013-01-17,0,0,0.001,0.012,0.005,0.004,0.014
2013-01-18,0.001,0.001,0.009,0.014,0.005,0.005,0.015
2013-01-19,0.001,0.001,0.002,0.015,0.002,0.006,0.015
2013-01-20,0.016,0.002,0.001,0.017,0.004,0.003,0.013
2013-01-21,0.001,0,0,0.011,0.002,0.003,0.006
2013-01-22,0,0.002,0.003,0.016,0.003,0.001,0.009
2013-01-23,0.001,0,0.004,0.013,0.009,0.002,0.011
2013-01-24,0,0,0.017,0.022,0.003,0.005,0.012
2013-01-25,0.002,0.001,0.001,0.015,0.003,0.002,0.018
2013-01-26,0.001,0.009,0.004,0.018,0.001,0.004,0.006
2013-01-27,0.002,0.002,0.009,0.016,0.005,0.005,0.013
2013-01-28,0.002,0.001,0.005,0.019,0.004,0.002,0.012
2013-01-29,0.001,0.002,0.003,0.017,0.001,0.003,0.007
2013-01-30,0.002,0.001,0.003,0.016,0.001,0,0.01
2013-01-31,0,0.001,0.008,0.015,0.004,0.002,0.009
2013-02-01,0,0.002,0.002,0.018,0.003,0.005,0.006
2013-02-02,0.002,0.005,0.017,0.021,0.005,0.004,0.014
2013-02-03,0.008,0.001,0.002,0.019,0.007,0.006,0.012
2013-02-04,0.001,0,0.001,0.014,0.007,0.004,0.009
2013-02-05,0.004,0.001,0.003,0.017,0.004,0.002,0.009
2013-02-06,0.001,0,0.004,0.011,0.003,0.004,0.01
2013-02-07,0.002,0,0.008,0.021,0.001,0.008,0.005
2013-02-08,0,0.004,0.011,0.018,0.004,0.008,0.009
2013-02-09,0.014,0.005,0.02,0.019,0.005,0.008,0.01
2013-02-10,0.109,0.021,0.006,0.028,0.014,0.009,0.011
2013-02-11,0.004,0.002,0.007,0.02,0.007,0.01,0.01
2013-02-12,0,0.002,0.01,0.02,0.008,0.007,0.011
2013-02-13,0,0,0,0.005,0.001,0.001,0.005
2013-02-14,0,0,0,0.017,0.006,0.007,0.011
2013-02-15,0,0,0.006,0.012,0.003,0.004,0.006
2013-02-16,0.004,0.002,0.011,0.012,0,0.008,0.007
2013-02-17,0.001,0.01,0.019,0.018,0.007,0.005,0.007
2013-02-18,0.001,0.002,0.012,0.016,0.006,0.006,0.008
2013-02-19,0,0.006,0.001,0.014,0.003,0.001,0.009
2013-02-20,0,0.001,0.004,0.016,0.003,0,0.008
2013-02-21,0.001,0.001,0.001,0.016,0.003,0.003,0.008
2013-02-22,0.001,0.002,0.017,0.013,0.005,0.005,0.009
2013-02-23,0.002,0.001,0.023,0.012,0.006,0.002,0.005
2013-02-24,0.006,0.009,0,0.017,0.004,0.009,0.012
2013-02-25,0.002,0,0.005,0.015,0.003,0.003,0.008
2013-02-26,0.001,0,0.009,0.019,0.003,0.002,0.008
2013-02-27,0.001,0,0,0.015,0.004,0.003,0.008
2013-02-28,0,0.001,0.009,0.015,0.002,0.003,0.01
2013-03-01,0,0.001,0.007,0.02,0.005,0.006,0.003
2013-03-02,0.003,0.007,0.009,0.017,0.002,0.005,0.008
2013-03-03,0.005,0.002,0.007,0.014,0.001,0.005,0.007
2013-03-04,0.001,0.001,0,0.017,0.004,0.008,0.015
2013-03-05,0,0,0.01,0.022,0.002,0.005,0.008
2013-03-06,0,0.001,0,0.015,0.003,0.002,0.004
2013-03-07,0.001,0.001,0.021,0.015,0,0,0.004
2013-03-08,0.001,0,0.005,0.017,0.005,0.001,0.009
2013-03-09,0.001,0.002,0.028,0.014,0.002,0.003,0.006
2013-03-10,0.002,0.002,0.015,0.015,0.006,0.007,0.003
2013-03-11,0.001,0,0.009,0.018,0.005,0.006,0.009
2013-03-12,0,0,0.02,0.017,0.005,0.006,0.009
2013-03-13,0,0,0.027,0.024,0.01,0.014,0.014
2013-03-14,0,0,0.019,0.022,0.006,0.008,0.008
2013-03-15,0.001,0.001,0.014,0.013,0.005,0.004,0.01
2013-03-16,0.004,0.001,0.032,0.014,0.008,0.006,0.003
2013-03-17,0.001,0.004,0.014,0.015,0.003,0.009,0.007
2013-03-18,0,0.001,0.006,0.022,0.005,0.008,0.004
2013-03-19,0,0.001,0.002,0.018,0.002,0.004,0.004
2013-03-20,0.001,0,0.005,0.017,0.005,0.005,0.015
2013-03-21,0,0.001,0.002,0.012,0.003,0.003,0.009
2013-03-22,0,0.002,0.009,0.016,0.002,0.005,0.008
2013-03-23,0.001,0,0.015,0.012,0.003,0.001,0.005
2013-03-24,0.005,0.004,0.021,0.018,0.006,0.007,0.01
2013-03-25,0.067,0.024,0.009,0.024,0.014,0.012,0.008
2013-03-26,0.003,0.002,0.019,0.016,0.007,0.008,0.005
2013-03-27,0.002,0.001,0.001,0.016,0.001,0.003,0.006
2013-03-28,0,0.001,0.009,0.01,0.002,0.009,0.01
2013-03-29,0.001,0.001,0.032,0.019,0.008,0.01,0.015
2013-03-30,0.004,0.009,0.04,0.019,0.013,0.009,0.008
2013-03-31,0.018,0.019,0.011,0.025,0.013,0.016,0.015
2013-04-01,0.001,0.001,0,0.021,0.007,0.014,0.011
2013-04-02,0.001,0.008,0.013,0.018,0.002,0.005,0.007
2013-04-03,0.004,0.001,0.002,0.013,0.001,0.008,0.01
2013-04-04,0.001,0,0,0.016,0.004,0.004,0.008
2013-04-05,0.001,0.001,0.018,0.015,0.003,0.006,0.012
