date,Democrats,Republicans,Media,Public,Democratic_Supporters,Republican_Supporters,Random_Users
2013-01-01,0.275,0.238,0.094,0.02,0.074,0.059,0.004
2013-01-02,0.32,0.229,0.139,0.039,0.106,0.095,0.009
2013-01-03,0.062,0.026,0.041,0.013,0.049,0.035,0.003
2013-01-04,0.101,0.041,0.048,0.005,0.037,0.016,0.013
2013-01-05,0.018,0.021,0.001,0.001,0.02,0.009,0.001
2013-01-06,0.007,0.012,0.002,0.006,0.016,0.012,0.009
2013-01-07,0.002,0.006,0.013,0.004,0.009,0.014,0.002
2013-01-08,0.008,0.017,0.001,0.003,0.014,0.015,0.004
2013-01-09,0.005,0.005,0.007,0.002,0.013,0.012,0.003
2013-01-10,0.001,0.001,0.003,0.002,0.011,0.013,0.007
2013-01-11,0.001,0,0.001,0.004,0.005,0.015,0.008
2013-01-12,0.002,0.012,0.019,0.004,0.009,0.013,0
2013-01-13,0.006,0.016,0.001,0.003,0.003,0.012,0.01
2013-01-14,0.025,0.038,0.001,0.004,0.008,0.016,0
2013-01-15,0.063,0.09,0.006,0.005,0.023,0.023,0.001
2013-01-16,0.094,0.051,0.056,0.006,0.031,0.02,0.007
2013-01-17,0.008,0.002,0,0.005,0.019,0.013,0.009
2013-01-18,0,0.03,0.026,0.005,0.012,0.016,0.004
2013-01-19,0.001,0.01,0.004,0,0.009,0.017,0.004
2013-01-20,0.013,0.025,0.001,0.005,0.007,0.007,0.005
2013-01-21,0.002,0.007,0.003,0.004,0.011,0.005,0.002
2013-01-22,0.026,0.042,0,0.004,0.019,0.009,0.002
2013-01-23,0.065,0.109,0.034,0.004,0.02,0.019,0.001
2013-01-24,0.023,0.04,0,0.007,0.023,0.014,0.006
2013-01-25,0.011,0.015,0,0.002,0.023,0.009,0.001
2013-01-26,0.02,0.003,0,0.004,0.015,0.002,0.006
2013-01-27,0.018,0.003,0.003,0.003,0.002,0.009,0.01
2013-01-28,0.016,0.007,0.017,0.005,0.008,0.009,0.003
2013-01-29,0.024,0.001,0.028,0.006,0.023,0.015,0
2013-01-30,0.006,0.021,0.002,0.002,0.008,0.012,0.005
2013-01-31,0.004,0.035,0.005,0.002,0.01,0.019,0.009
2013-02-01,0.001,0.021,0.011,0.002,0.009,0.012,0
2013-02-02,0.001,0.006,0.002,0.004,0.012,0.006,0.009
2013-02-03,0.048,0.014,0,0.004,0.011,0.01,0.005
2013-02-04,0.05,0.054,0,0.003,0.009,0.005,0.006
2013-02-05,0.051,0.064,0.02,0.001,0.027,0.009,0.006
2013-02-06,0.045,0.061,0.001,0,0.012,0.015,0
2013-02-07,0.055,0.006,0.003,0.001,0.012,0.01,0.007
2013-02-08,0.011,0.017,0.001,0,0.011,0.006,0.003
2013-02-09,0.002,0.002,0.002,0.001,0.009,0.006,0.008
2013-02-10,0.007,0.003,0.002,0.001,0.007,0.011,0
2013-02-11,0.03,0.021,0.002,0.004,0.01,0.005,0.009
2013-02-12,0.171,0.034,0.001,0.004,0.044,0.008,0.01
2013-02-13,0.055,0.03,0.036,0.01,0.055,0.021,0.01
2013-02-14,0.044,0.013,0.011,0.005,0.025,0.013,0.004
2013-02-15,0.065,0.063,0.013,0.003,0.026,0.014,0
2013-02-16,0.001,0.001,0.001,0.002,0.021,0.008,0
2013-02-17,0.04,0.001,0.015,0.004,0.012,0.007,0.002
2013-02-18,0.011,0.003,0.004,0.003,0.01,0.012,0.007
2013-02-19,0.002,0.016,0.002,0.002,0.016,0.013,0.004
2013-02-20,0,0.003,0.004,0.001,0.017,0.012,0.001
2013-02-21,0.006,0.003,0,0.003,0.023,0.016,0
2013-02-22,0.012,0.002,0,0.004,0.017,0.009,0
2013-02-23,0.02,0.001,0.011,0.004,0.018,0.011,0.008
2013-02-24,0.015,0.04,0.006,0.003,0.01,0.003,0.003
2013-02-25,0.058,0.002,0.004,0,0.013,0.009,0.001
2013-02-26,0.063,0.025,0.008,0.001,0.02,0.019,0.002
2013-02-27,0.061,0.016,0,0,0.03,0.023,0.005
2013-02-28,0.207,0.093,0.037,0.017,0.064,0.018,0.013
2013-03-01,0.028,0.009,0.002,0.001,0.028,0.01,0.002
2013-03-02,0.021,0.019,0.011,0.001,0.021,0.005,0.005
2013-03-03,0.016,0.005,0.005,0.001,0.017,0.01,0.005
2013-03-04,0.006,0.015,0.001,0,0.007,0.014,0.003
2013-03-05,0.012,0.024,0.002,0.002,0.023,0.014,0.002
2013-03-06,0.034,0.068,0.001,0.001,0.024,0.023,0.001
2013-03-07,0.013,0.035,0.003,0.006,0.023,0.044,0.008
2013-03-08,0.003,0.02,0,0.001,0.013,0.019,0.004
2013-03-09,0.001,0.015,0.007,0.003,0.015,0.018,0.002
2013-03-10,0.007,0.003,0,0.003,0.008,0.012,0.008
2013-03-11,0.003,0.009,0.003,0,0.008,0.007,0.007
2013-03-12,0.042,0.041,0.032,0.002,0.028,0.018,0.005
2013-03-13,0.027,0.047,0.003,0.004,0.025,0.028,0.007
2013-03-14,0.056,0.056,0.002,0.002,0.021,0.022,0.005
2013-03-15,0.034,0.075,0.015,0.002,0.025,0.012,0.004
2013-03-16,0.003,0.001,0,0.008,0.015,0.006,0.007
2013-03-17,0.003,0.001,0.006,0.005,0.008,0.01,0.002
2013-03-18,0.006,0.004,0.001,0.002,0.008,0.015,0.002
2013-03-19,0.006,0.021,0.003,0.007,0.021,0.019,0.006
2013-03-20,0.045,0.066,0.018,0.006,0.024,0.017,0.009
2013-03-21,0.091,0.122,0.029,0.004,0.03,0.023,0.001
2013-03-22,0.062,0.119,0.014,0.003,0.023,0.029,0.008
2013-03-23,0.052,0.172,0.017,0.006,0.016,0.032,0.003
2013-03-24,0.002,0.029,0.001,0.002,0.013,0.018,0.006
2013-03-25,0.002,0.022,0,0.002,0.009,0.012,0.002
2013-03-26,0.004,0.019,0.002,0.001,0.014,0.015,0.003
2013-03-27,0.012,0.009,0.006,0.003,0.017,0.013,0.005
2013-03-28,0.006,0.005,0.008,0.005,0.018,0.012,0.003
2013-03-29,0.023,0.02,0,0.001,0.016,0.007,0.007
2013-03-30,0.001,0.003,0,0.002,0.006,0.005,0.005
2013-03-31,0.002,0.011,0.001,0.003,0.006,0.005,0.009
2013-04-01,0.001,0.006,0.006,0.004,0.009,0.004,0
