date,Democrats,Republicans,Media,Public,Democratic_Supporters,Republican_Supporters,Random_Users
2013-01-01,0.004,0.012,0.045,0.168,0.1,0.132,0.204
2013-01-02,0.002,0.011,0.039,0.162,0.085,0.102,0.212
2013-01-03,0.001,0.001,0.04,0.18,0.093,0.128,0.227
2013-01-04,0.012,0.028,0.042,0.194,0.095,0.128,0.236
2013-01-05,0.106,0.169,0.021,0.236,0.149,0.184,0.249
2013-01-06,0.175,0.169,0.08,0.257,0.195,0.191,0.268
2013-01-07,0.014,0.029,0.058,0.197,0.132,0.162,0.226
2013-01-08,0.01,0.007,0.128,0.253,0.144,0.235,0.31
2013-01-09,0.002,0.005,0.077,0.177,0.101,0.125,0.202
2013-01-10,0.006,0.013,0.069,0.189,0.106,0.125,0.208
2013-01-11,0.014,0.017,0.065,0.184,0.115,0.144,0.205
2013-01-12,0.088,0.099,0.076,0.237,0.166,0.182,0.28
2013-01-13,0.261,0.313,0.144,0.295,0.245,0.269,0.314
2013-01-14,0.015,0.005,0.088,0.204,0.132,0.137,0.225
2013-01-15,0.002,0.004,0.047,0.182,0.097,0.107,0.208
2013-01-16,0,0.002,0.017,0.171,0.085,0.106,0.196
2013-01-17,0.006,0.005,0.044,0.184,0.095,0.128,0.217
2013-01-18,0.023,0.006,0.105,0.197,0.108,0.123,0.213
2013-01-19,0.048,0.025,0.105,0.249,0.158,0.172,0.265
2013-01-20,0.195,0.139,0.092,0.29,0.215,0.209,0.304
2013-01-21,0.074,0.066,0.096,0.226,0.159,0.192,0.246
2013-01-22,0.009,0,0.065,0.188,0.113,0.125,0.195
2013-01-23,0.002,0.001,0.047,0.185,0.109,0.115,0.233
2013-01-24,0.001,0.001,0.064,0.188,0.098,0.142,0.215
2013-01-25,0.023,0.008,0.062,0.2,0.114,0.131,0.209
2013-01-26,0.102,0.118,0.089,0.24,0.14,0.164,0.256
2013-01-27,0.114,0.176,0.101,0.247,0.174,0.186,0.272
2013-01-28,0.019,0.003,0.092,0.202,0.117,0.144,0.23
2013-01-29,0.002,0.001,0.068,0.188,0.107,0.133,0.199
2013-01-30,0.002,0.002,0.045,0.191,0.107,0.128,0.222
2013-01-31,0.008,0,0.062,0.192,0.117,0.128,0.225
2013-02-01,0.009,0.001,0.083,0.21,0.135,0.132,0.223
2013-02-02,0.094,0.119,0.116,0.238,0.158,0.189,0.266
2013-02-03,0.231,0.295,0.18,0.312,0.247,0.259,0.32
2013-02-04,0.039,0.007,0.188,0.293,0.242,0.249,0.325
2013-02-05,0.004,0,0.069,0.189,0.097,0.129,0.206
2013-02-06,0.007,0.001,0.061,0.194,0.106,0.15,0.22
2013-02-07,0.001,0.007,0.076,0.188,0.1,0.137,0.211
2013-02-08,0,0.019,0.052,0.203,0.104,0.149,0.231
2013-02-09,0.008,0.078,0.108,0.231,0.137,0.173,0.257
2013-02-10,0.038,0.156,0.116,0.25,0.167,0.176,0.287
2013-02-11,0.003,0.018,0.12,0.223,0.151,0.173,0.23
2013-02-12,0,0.001,0.093,0.179,0.102,0.143,0.22
2013-02-13,0,0,0.065,0.148,0.058,0.089,0.182
2013-02-14,0.003,0,0.073,0.177,0.093,0.135,0.187
2013-02-15,0.004,0,0.07,0.187,0.115,0.14,0.228
2013-02-16,0.053,0.128,0.055,0.237,0.15,0.172,0.251
2013-02-17,0.135,0.106,0.095,0.241,0.171,0.185,0.255
2013-02-18,0.046,0.035,0.102,0.204,0.138,0.149,0.223
2013-02-19,0.002,0,0.047,0.171,0.109,0.125,0.196
2013-02-20,0.005,0.002,0.071,0.175,0.094,0.125,0.206
2013-02-21,0.001,0.002,0.114,0.191,0.095,0.126,0.216
2013-02-22,0.008,0.021,0.052,0.197,0.102,0.139,0.213
2013-02-23,0.075,0.105,0.086,0.236,0.144,0.168,0.268
2013-02-24,0.101,0.138,0.133,0.261,0.171,0.209,0.271
2013-02-25,0,0,0.122,0.226,0.154,0.154,0.201
2013-02-26,0.003,0.001,0.1,0.192,0.089,0.115,0.199
2013-02-27,0.001,0,0.077,0.192,0.097,0.127,0.219
2013-02-28,0,0.001,0.066,0.193,0.092,0.131,0.207
2013-03-01,0.008,0.004,0.061,0.205,0.105,0.132,0.225
2013-03-02,0.18,0.124,0.087,0.235,0.134,0.165,0.26
2013-03-03,0.152,0.182,0.125,0.256,0.17,0.204,0.255
2013-03-04,0.009,0.014,0.113,0.206,0.107,0.149,0.22
2013-03-05,0,0.001,0.083,0.202,0.094,0.121,0.201
2013-03-06,0,0.001,0.061,0.199,0.095,0.112,0.222
2013-03-07,0,0.001,0.052,0.186,0.099,0.086,0.209
2013-03-08,0,0.007,0.085,0.207,0.104,0.126,0.222
2013-03-09,0.147,0.222,0.142,0.248,0.17,0.167,0.27
2013-03-10,0.132,0.282,0.16,0.269,0.185,0.186,0.279
2013-03-11,0.021,0.013,0.083,0.213,0.119,0.129,0.218
2013-03-12,0.002,0.001,0.079,0.194,0.107,0.136,0.204
2013-03-13,0,0.003,0.122,0.219,0.116,0.136,0.224
2013-03-14,0,0.006,0.103,0.207,0.115,0.137,0.224
2013-03-15,0.006,0,0.101,0.222,0.122,0.157,0.229
2013-03-16,0.154,0.165,0.16,0.262,0.178,0.207,0.26
2013-03-17,0.217,0.253,0.106,0.268,0.183,0.215,0.293
2013-03-18,0.012,0.01,0.077,0.202,0.12,0.149,0.225
2013-03-19,0.002,0.006,0.085,0.197,0.113,0.133,0.212
2013-03-20,0,0.001,0.069,0.188,0.116,0.146,0.208
2013-03-21,0.001,0,0.067,0.199,0.104,0.149,0.223
2013-03-22,0.004,0.001,0.085,0.211,0.133,0.153,0.24
2013-03-23,0.06,0.033,0.079,0.26,0.172,0.175,0.27
2013-03-24,0.161,0.172,0.13,0.26,0.198,0.22,0.282
2013-03-25,0.021,0.027,0.113,0.221,0.126,0.171,0.226
2013-03-26,0.007,0.004,0.065,0.179,0.094,0.133,0.209
2013-03-27,0.001,0.002,0.056,0.186,0.099,0.133,0.216
2013-03-28,0.014,0.005,0.068,0.205,0.097,0.139,0.23
2013-03-29,0.074,0.085,0.114,0.224,0.123,0.18,0.244
2013-03-30,0.264,0.252,0.125,0.278,0.185,0.206,0.293
2013-03-31,0.087,0.11,0.114,0.263,0.194,0.21,0.249
2013-04-01,0.027,0.045,0.107,0.23,0.142,0.176,0.235
2013-04-02,0.001,0.005,0.064,0.195,0.097,0.135,0.207
2013-04-03,0.001,0.006,0.079,0.198,0.11,0.144,0.212
2013-04-04,0.001,0.001,0.103,0.195,0.11,0.138,0.228
2013-04-05,0.001,0.008,0.033,0.206,0.105,0.155,0.228
2013-04-06,0.161,0.184,0.092,0.249,0.15,0.186,0.253
2013-04-07,0.278,0.19,0.117,0.275,0.187,0.231,0.284
2013-04-08,0.031,0.003,0.091,0.205,0.122,0.152,0.238
2013-04-09,0.003,0.004,0.093,0.232,0.119,0.187,0.251
2013-04-10,0.002,0.005,0.066,0.198,0.095,0.13,0.203
2013-04-11,0,0,0.047,0.185,0.092,0.123,0.223
2013-04-12,0.028,0.008,0.071,0.205,0.109,0.11,0.228
2013-04-13,0.116,0.043,0.097,0.252,0.158,0.169,0.261
2013-04-14,0.219,0.119,0.131,0.262,0.172,0.201,0.264
2013-04-15,0.005,0,0.055,0.17,0.097,0.12,0.191
2013-04-16,0.002,0.002,0.068,0.17,0.101,0.115,0.189
2013-04-17,0.001,0.002,0.039,0.183,0.084,0.116,0.205
2013-04-18,0.001,0.001,0.056,0.187,0.093,0.112,0.22
2013-04-19,0.007,0.004,0.089,0.196,0.121,0.146,0.21
2013-04-20,0.077,0.056,0.07,0.228,0.147,0.151,0.221
2013-04-21,0.167,0.176,0.089,0.253,0.176,0.167,0.247
2013-04-22,0.003,0.001,0.064,0.198,0.107,0.122,0.189
2013-04-23,0.001,0,0.056,0.188,0.095,0.119,0.151
2013-04-24,0,0.002,0.079,0.184,0.109,0.118,0.192
2013-04-25,0.004,0,0.046,0.198,0.089,0.127,0.221
2013-04-26,0.025,0.017,0.059,0.221,0.121,0.154,0.236
2013-04-27,0.23,0.17,0.101,0.267,0.162,0.193,0.276
2013-04-28,0.234,0.192,0.169,0.266,0.2,0.21,0.277
2013-04-29,0.002,0.01,0.078,0.198,0.102,0.142,0.202
2013-04-30,0.001,0,0.041,0.194,0.106,0.131,0.22
2013-05-01,0.007,0.001,0.069,0.206,0.108,0.133,0.227
2013-05-02,0.001,0,0.095,0.201,0.111,0.133,0.227
2013-05-03,0.003,0.01,0.095,0.206,0.131,0.137,0.242
2013-05-04,0.104,0.094,0.102,0.26,0.184,0.187,0.291
2013-05-05,0.16,0.207,0.115,0.26,0.187,0.198,0.263
2013-05-06,0.023,0.008,0.068,0.196,0.114,0.131,0.219
2013-05-07,0,0.001,0.089,0.21,0.113,0.131,0.215
2013-05-08,0,0.001,0.076,0.195,0.114,0.117,0.215
2013-05-09,0.002,0,0.086,0.202,0.099,0.125,0.215
2013-05-10,0.028,0.003,0.069,0.214,0.118,0.122,0.25
2013-05-11,0.166,0.149,0.09,0.264,0.173,0.162,0.271
2013-05-12,0.101,0.089,0.117,0.247,0.156,0.168,0.24
2013-05-13,0.011,0.002,0.07,0.21,0.122,0.107,0.229
2013-05-14,0.001,0,0.089,0.193,0.11,0.1,0.242
2013-05-15,0,0,0.07,0.181,0.101,0.095,0.229
2013-05-16,0,0,0.11,0.199,0.105,0.101,0.224
2013-05-17,0.01,0.01,0.078,0.22,0.126,0.108,0.229
2013-05-18,0.086,0.082,0.071,0.242,0.159,0.147,0.253
2013-05-19,0.12,0.12,0.091,0.246,0.182,0.158,0.276
2013-05-20,0.006,0.009,0.062,0.207,0.112,0.117,0.22
2013-05-21,0.001,0.002,0.077,0.172,0.091,0.094,0.186
2013-05-22,0,0.001,0.061,0.186,0.1,0.1,0.212
