date,Democrats,Republicans,Media,Public,Democratic_Supporters,Republican_Supporters,Random_Users
2013-04-10,0.182,0.001,0.001,0.002,0.027,0,0.003
2013-04-11,0.185,0.004,0.004,0.001,0.034,0,0.001
2013-04-12,0.234,0.003,0.004,0,0.028,0,0
2013-04-13,0.204,0.003,0.001,0,0.012,0,0.011
2013-04-14,0.065,0.005,0.003,0.001,0.013,0,0.007
2013-04-15,0.17,0.004,0.001,0,0.009,0,0.003
2013-04-16,0.16,0.004,0.013,0.002,0.015,0,0.002
2013-04-17,0.152,0.001,0,0.007,0.04,0,0.005
2013-04-18,0.194,0,0.001,0.003,0.034,0,0
2013-04-19,0.224,0.006,0.003,0,0.026,0,0.005
2013-04-20,0.089,0.013,0.003,0,0.01,0,0
2013-04-21,0.142,0.008,0.002,0,0.005,0,0.003
2013-04-22,0.23,0.009,0.008,0.001,0.025,0,0.004
2013-04-23,0.235,0.003,0.004,0.003,0.02,0,0
2013-04-24,0.226,0.001,0.006,0.006,0.031,0.001,0.001
2013-04-25,0.251,0.007,0.001,0.002,0.017,0,0.001
2013-04-26,0.251,0,0,0,0.023,0.001,0.01
2013-04-27,0.044,0.011,0,0.001,0.029,0,0.001
2013-04-28,0.103,0.002,0,0.001,0.015,0,0
2013-04-29,0.224,0.002,0,0,0.031,0,0
2013-04-30,0.27,0.001,0,0.001,0.015,0,0
2013-05-01,0.284,0.002,0.001,0,0.027,0,0.004
2013-05-02,0.204,0.002,0.002,0.001,0.019,0,0
2013-05-03,0.204,0.002,0,0.001,0.019,0,0
2013-05-04,0.134,0.004,0.015,0.001,0.002,0,0.004
2013-05-05,0.098,0.006,0,0,0.005,0,0.001
2013-05-06,0.21,0,0,0,0.021,0.001,0.004
2013-05-07,0.209,0.033,0.016,0,0.019,0,0.011
2013-05-08,0.243,0.002,0.01,0.002,0.021,0,0.005
2013-05-09,0.157,0.001,0.005,0.001,0.02,0,0
2013-05-10,0.213,0.004,0.001,0,0.018,0,0.007
2013-05-11,0.137,0.003,0.001,0.001,0.006,0,0.005
2013-05-12,0.105,0.001,0.005,0,0.001,0,0
2013-05-13,0.251,0.004,0.002,0,0.011,0.001,0.004
2013-05-14,0.165,0.001,0.007,0,0.011,0.001,0.001
2013-05-15,0.181,0,0.007,0.002,0.015,0,0.005
2013-05-16,0.174,0.003,0,0.001,0.01,0,0.002
2013-05-17,0.214,0.004,0.003,0,0.012,0,0
2013-05-18,0.135,0.001,0.027,0,0.007,0,0.005
2013-05-19,0.102,0.001,0.001,0,0.011,0,0
2013-05-20,0.126,0.001,0,0,0.028,0,0.002
2013-05-21,0.157,0.002,0.035,0.005,0.034,0.001,0.001
2013-05-22,0.218,0.006,0.021,0.002,0.046,0,0.006
2013-05-23,0.268,0.008,0,0,0.02,0,0.011
2013-05-24,0.235,0.009,0.009,0,0.027,0,0.01
2013-05-25,0.105,0.002,0.002,0,0.02,0.001,0.004
2013-05-26,0.117,0.002,0.002,0,0.009,0,0.002
2013-05-27,0.055,0.001,0.002,0,0.009,0,0.004
2013-05-28,0.202,0.001,0.001,0.002,0.015,0,0
2013-05-29,0.268,0.005,0,0.005,0.019,0,0.001
2013-05-30,0.261,0.007,0.002,0,0.026,0,0.016
2013-05-31,0.217,0,0.002,0.003,0.021,0.001,0.005
2013-06-01,0.19,0.005,0.008,0.001,0.004,0.001,0.002
2013-06-02,0.106,0.002,0.001,0,0.016,0,0.001
2013-06-03,0.186,0.004,0.001,0.006,0.03,0,0.013
2013-06-04,0.216,0.001,0.003,0.003,0.025,0,0
2013-06-05,0.258,0.002,0.003,0.006,0.044,0,0.005
2013-06-06,0.153,0,0.014,0,0.035,0,0.015
2013-06-07,0.174,0.001,0.007,0.001,0.027,0,0.003
2013-06-08,0.133,0.01,0.008,0.003,0.025,0,0.004
2013-06-09,0.107,0.007,0.001,0.001,0.005,0.001,0.01
2013-06-10,0.161,0.006,0,0,0.023,0,0.002
2013-06-11,0.212,0.001,0,0.007,0.027,0,0
2013-06-12,0.203,0,0.011,0,0.035,0,0.002
2013-06-13,0.197,0.03,0.002,0,0.039,0,0.003
2013-06-14,0.173,0.02,0,0,0.013,0,0.002
2013-06-15,0.104,0.006,0.002,0,0.011,0.004,0.003
2013-06-16,0.106,0.001,0,0.001,0.009,0,0
2013-06-17,0.181,0.032,0.001,0.001,0.01,0,0.004
2013-06-18,0.166,0.001,0,0,0.024,0,0.005
2013-06-19,0.154,0.001,0.005,0.002,0.014,0,0
2013-06-20,0.238,0.018,0.004,0.001,0.019,0,0.002
2013-06-21,0.22,0.004,0.02,0.001,0.013,0,0.004
2013-06-22,0.203,0.005,0.009,0.005,0.012,0,0.002
2013-06-23,0.143,0.003,0,0.001,0.011,0,0.002
2013-06-24,0.253,0.008,0.001,0,0.021,0.004,0.003
2013-06-25,0.217,0.001,0,0.002,0.019,0,0
2013-06-26,0.134,0,0.001,0.003,0.001,0.001,0
2013-06-27,0.138,0.001,0.005,0,0.01,0.001,0.005
2013-06-28,0.226,0,0.011,0.006,0.015,0,0.007
2013-06-29,0.067,0.004,0.005,0.001,0.01,0.002,0.001
2013-06-30,0.083,0.008,0,0.001,0.004,0,0
